THỜI KHÓA BIỂU DỰ KIẾN KỲ 1 NĂM HỌC 2024-2025 (20241) - CẬP NHẬT NGÀY 04.08.2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20241,TCNTT,153850,153850,IT1130,Tin học đại cương,Introduction to Computer Science,2(1-0-2-4),SV khoa Ngoại ngữ-K68S,1,3,0645-0815,1,2,Sáng,2-9,D6-306,TN,NULL,180,Đang xếp TKB,LT+BT,A,CT CHUẨN,
20241,TCNTT,153851,153851,IT1130,Tin học đại cương,Introduction to Computer Science,2(1-0-2-4),SV khoa Ngoại ngữ-K68S,1,3,0825-1005,3,4,Sáng,2-9,D6-306,TN,NULL,180,Đang xếp TKB,LT+BT,A,CT CHUẨN,
20241,KNN,153852,153852,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 01-K68C,1,2,1230-1400,1,2,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153852,153852,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 01-K68C,2,5,1600-1730,5,6,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153853,153853,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 01-K68C,1,2,1410-1550,3,4,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153853,153853,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 01-K68C,2,5,1230-1400,1,2,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153854,153854,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 01-K68C,1,2,1600-1730,5,6,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153854,153854,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 01-K68C,2,5,1410-1550,3,4,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153855,153855,FL1158,Viết tiếng Anh học thuật 3,Advanced Academic Writing,3(3-1-0-6),Tiếng Anh KHKT 01-K68C,1,4,1230-1455,1,3,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153856,153856,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 02-K68C,1,2,1410-1550,3,4,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153856,153856,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 02-K68C,2,5,1230-1400,1,2,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153857,153857,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 02-K68C,1,2,1600-1730,5,6,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153857,153857,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 02-K68C,2,5,1410-1550,3,4,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153858,153858,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 02-K68C,1,2,1230-1400,1,2,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153858,153858,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 02-K68C,2,5,1600-1730,5,6,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153859,153859,FL1158,Viết tiếng Anh học thuật 3,Advanced Academic Writing,3(3-1-0-6),Tiếng Anh KHKT 02-K68C,1,4,1505-1730,4,6,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153860,153860,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 03-K68C,1,2,1600-1730,5,6,Chiều,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153860,153860,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 03-K68C,2,5,1410-1550,3,4,Chiều,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153861,153861,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 03-K68C,1,2,1230-1400,1,2,Chiều,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153861,153861,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 03-K68C,2,5,1600-1730,5,6,Chiều,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153862,153862,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 03-K68C,1,2,1410-1550,3,4,Chiều,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153862,153862,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 03-K68C,2,5,1230-1400,1,2,Chiều,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153863,153863,FL1158,Viết tiếng Anh học thuật 3,Advanced Academic Writing,3(3-1-0-6),Tiếng Anh KHKT 03-K68C,1,6,1230-1455,1,3,Chiều,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153864,153864,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 04-K68S,1,4,0645-0815,1,2,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153864,153864,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 04-K68S,2,6,1015-1145,5,6,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153865,153865,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 04-K68S,1,4,0825-1005,3,4,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153865,153865,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 04-K68S,2,6,0645-0815,1,2,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153866,153866,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 04-K68S,1,4,1015-1145,5,6,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153866,153866,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 04-K68S,2,6,0825-1005,3,4,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153867,153867,FL1158,Viết tiếng Anh học thuật 3,Advanced Academic Writing,3(3-1-0-6),Tiếng Anh KHKT 04-K68S,1,5,0920-1145,4,6,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153868,153868,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 05-K68S,1,4,0825-1005,3,4,Sáng,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153868,153868,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 05-K68S,2,6,0645-0815,1,2,Sáng,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153869,153869,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 05-K68S,1,4,1015-1145,5,6,Sáng,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153869,153869,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 05-K68S,2,6,0825-1005,3,4,Sáng,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153870,153870,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 05-K68S,1,4,0645-0815,1,2,Sáng,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153870,153870,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 05-K68S,2,6,1015-1145,5,6,Sáng,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153871,153871,FL1158,Viết tiếng Anh học thuật 3,Advanced Academic Writing,3(3-1-0-6),Tiếng Anh KHKT 05-K68S,1,3,0645-0910,1,3,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153872,153872,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 06-K68S,1,4,1015-1145,5,6,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153872,153872,FL1159,Diễn thuyết trước công chúng,Public Speaking,3(2-2-0-6),Tiếng Anh KHKT 06-K68S,2,6,0825-1005,3,4,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153873,153873,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 06-K68S,1,4,0645-0815,1,2,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153873,153873,FL1160,Tư duy phản biện,Critical Thinking,3(2-2-0-6),Tiếng Anh KHKT 06-K68S,2,6,1015-1145,5,6,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153874,153874,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 06-K68S,1,4,0825-1005,3,4,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153874,153874,FL1161,Giao tiếp nghề nghiệp,Communication at Work,3(2-2-0-6),Tiếng Anh KHKT 06-K68S,2,6,0645-0815,1,2,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153875,153875,FL1158,Viết tiếng Anh học thuật 3,Advanced Academic Writing,3(3-1-0-6),Tiếng Anh KHKT 06-K68S,1,3,0920-1145,4,6,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153876,153876,FL1023,Ngữ âm thực hành,Practical Pronunciation,2(2-1-0-4),Tiếng Anh KHKT-K68C,1,3,1505-1730,4,6,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153877,153877,FL1421,Tiếng Pháp I,French I,3(2-2-0-6),Khối Ngoại ngữ-K68S,1,2,0645-1005,1,4,Sáng,"2-9,11-18",D8-303,NULL,NULL,20,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153878,153878,FL1421,Tiếng Pháp I,French I,3(2-2-0-6),Khối Ngoại ngữ-K68S,1,2,1015-1145,5,6,Sáng,"2-9,11-18",D8-303,NULL,NULL,20,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153878,153878,FL1421,Tiếng Pháp I,French I,3(2-2-0-6),Khối Ngoại ngữ-K68S,2,3,1015-1145,5,6,Sáng,"2-9,11-18",D8-305,NULL,NULL,20,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153879,153879,FL1431,Tiếng Nhật I,Japanese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68C,1,3,1230-1455,1,3,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153880,153880,FL1431,Tiếng Nhật I,Japanese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68C,1,4,1230-1455,1,3,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153881,153881,FL1431,Tiếng Nhật I,Japanese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68C,1,4,1505-1730,4,6,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153882,153882,FL1441,Tiếng Trung Quốc I,Chinese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68S,1,2,0645-0910,1,3,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153883,153883,FL1441,Tiếng Trung Quốc I,Chinese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68S,1,2,0920-1145,4,6,Sáng,"2-9,11-18",D8-301,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153884,153884,FL1441,Tiếng Trung Quốc I,Chinese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68S,1,5,0645-0910,1,3,Sáng,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153885,153885,FL1441,Tiếng Trung Quốc I,Chinese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68S,1,5,0920-1145,4,6,Sáng,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153886,153886,FL1441,Tiếng Trung Quốc I,Chinese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68C,1,3,1230-1455,1,3,Chiều,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153887,153887,FL1441,Tiếng Trung Quốc I,Chinese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68C,1,3,1505-1730,4,6,Chiều,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153888,153888,FL1441,Tiếng Trung Quốc I,Chinese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68C,1,6,1230-1455,1,3,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153889,153889,FL1441,Tiếng Trung Quốc I,Chinese I,3(2-2-0-6),(Blend)-Khối Ngoại ngữ-K68C,1,6,1505-1730,4,6,Chiều,"2-9,11-18",D8-303,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153890,153890,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,English for Information and Communication Technology,3(2-2-0-6),Tiếng Anh KHKT 01-K67S,1,3,0645-0815,1,2,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153890,153890,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,English for Information and Communication Technology,3(2-2-0-6),Tiếng Anh KHKT 01-K67S,2,5,1015-1145,5,6,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153891,153891,FL3153,Tiếng Anh Cơ khí và Khoa học Vật liệu,English for Mechanical Engineering and Materials Science,3(2-2-0-6),(Blend)-Tiếng Anh KHKT 01-K67S,1,2,0730-0910,2,3,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153892,153892,FL3155,Tiếng Anh Kinh tế và Kinh doanh ,English for Economics and Business,2(2-1-0-4),Tiếng Anh KHKT 01-K67S,1,2,0920-1145,4,6,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153893,153893,FL3158,Biên dịch,Translation,3(2-2-0-6),Tiếng Anh KHKT 01-K67S,1,3,0825-1005,3,4,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153893,153893,FL3158,Biên dịch,Translation,3(2-2-0-6),Tiếng Anh KHKT 01-K67S,2,5,0825-1005,3,4,Sáng,"2-9,11-18",D8-305,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153894,153894,FL3260,Văn hoá xã hội Mỹ,American Culture and Society,2(2-1-0-4),(Blend)-Tiếng Anh KHKT 01-K67S,1,4,0645-0910,1,3,Sáng,"2,4,6,8,12,14,16,18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153895,153895,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,English for Information and Communication Technology,3(2-2-0-6),Tiếng Anh KHKT 02-K67S,1,3,0825-1005,3,4,Sáng,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153895,153895,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,English for Information and Communication Technology,3(2-2-0-6),Tiếng Anh KHKT 02-K67S,2,5,0825-1005,3,4,Sáng,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153896,153896,FL3153,Tiếng Anh Cơ khí và Khoa học Vật liệu,English for Mechanical Engineering and Materials Science,3(2-2-0-6),(Blend)-Tiếng Anh KHKT 02-K67S,1,2,0920-1100,4,5,Sáng,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153897,153897,FL3155,Tiếng Anh Kinh tế và Kinh doanh ,English for Economics and Business,2(2-1-0-4),Tiếng Anh KHKT 02-K67S,1,2,0645-0910,1,3,Sáng,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153898,153898,FL3158,Biên dịch,Translation,3(2-2-0-6),Tiếng Anh KHKT 02-K67S,1,3,1015-1145,5,6,Sáng,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153898,153898,FL3158,Biên dịch,Translation,3(2-2-0-6),Tiếng Anh KHKT 02-K67S,2,5,0645-0815,1,2,Sáng,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153899,153899,FL3260,Văn hoá xã hội Mỹ,American Culture and Society,2(2-1-0-4),(Blend)-Tiếng Anh KHKT 02-K67S,1,4,0920-1145,4,6,Sáng,"2,4,6,8,12,14,16,18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153900,153900,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,English for Information and Communication Technology,3(2-2-0-6),Tiếng Anh KHKT 03-K67C,1,4,1230-1400,1,2,Chiều,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153900,153900,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,English for Information and Communication Technology,3(2-2-0-6),Tiếng Anh KHKT 03-K67C,2,6,1600-1730,5,6,Chiều,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153901,153901,FL3153,Tiếng Anh Cơ khí và Khoa học Vật liệu,English for Mechanical Engineering and Materials Science,3(2-2-0-6),(Blend)-Tiếng Anh KHKT 03-K67C,1,3,1315-1455,2,3,Chiều,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153902,153902,FL3155,Tiếng Anh Kinh tế và Kinh doanh ,English for Economics and Business,2(2-1-0-4),Tiếng Anh KHKT 03-K67C,1,3,1505-1730,4,6,Chiều,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153903,153903,FL3158,Biên dịch,Translation,3(2-2-0-6),Tiếng Anh KHKT 03-K67C,1,4,1410-1550,3,4,Chiều,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153903,153903,FL3158,Biên dịch,Translation,3(2-2-0-6),Tiếng Anh KHKT 03-K67C,2,6,1410-1550,3,4,Chiều,"2-9,11-18",D8-307,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153904,153904,FL3260,Văn hoá xã hội Mỹ,American Culture and Society,2(2-1-0-4),(Blend)-Tiếng Anh KHKT 03-K67C,1,5,1230-1455,1,3,Chiều,"2,4,6,8,12,14,16,18",D8-309,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153905,153905,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,English for Information and Communication Technology,3(2-2-0-6),Tiếng Anh KHKT 04-K67C,1,4,1410-1550,3,4,Chiều,"2-9,11-18",D8-309,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153905,153905,FL3152,Tiếng Anh Công nghệ Thông tin và Truyền thông,English for Information and Communication Technology,3(2-2-0-6),Tiếng Anh KHKT 04-K67C,2,6,1410-1550,3,4,Chiều,"2-9,11-18",D8-309,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153906,153906,FL3153,Tiếng Anh Cơ khí và Khoa học Vật liệu,English for Mechanical Engineering and Materials Science,3(2-2-0-6),(Blend)-Tiếng Anh KHKT 04-K67C,1,3,1505-1645,4,5,Chiều,"2-9,11-18",D8-309,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
20241,KNN,153907,153907,FL3155,Tiếng Anh Kinh tế và Kinh doanh ,English for Economics and Business,2(2-1-0-4),Tiếng Anh KHKT 04-K67C,1,3,1230-1455,1,3,Chiều,"2-9,11-18",D8-309,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153908,153908,FL3158,Biên dịch,Translation,3(2-2-0-6),Tiếng Anh KHKT 04-K67C,1,4,1600-1730,5,6,Chiều,"2-9,11-18",D8-309,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153908,153908,FL3158,Biên dịch,Translation,3(2-2-0-6),Tiếng Anh KHKT 04-K67C,2,6,1230-1400,1,2,Chiều,"2-9,11-18",D8-309,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20241,KNN,153909,153909,FL3260,Văn hoá xã hội Mỹ,American Culture and Society,2(2-1-0-4),(Blend)-Tiếng Anh KHKT 04-K67C,1,5,1505-1730,4,6,Chiều,"2,4,6,8,12,14,16,18",D8-309,NULL,NULL,33,Đang xếp TKB,LT+BT,AB,CT CHUẨN,Blend
